version,date
1.0.1a,2016-06-22
1.0.2,2016-06-29
1.0.2a,2016-06-30
1.0.2b,2016-06-30
1.0.2c,2016-06-30
1.0.2d,2016-06-30
1.0.3,2016-07-11
1.0.3b,2016-07-14
1.0.3a,2016-07-14
1.0.4,2016-07-26
1.0.5,2016-08-04
1.0.5a,2016-08-08
1.0.5b,2016-08-09
1.0.6,2016-08-12
1.1.0,2016-08-18
1.1.0d,2016-08-19
1.1.0c,2016-08-19
1.1.0b,2016-08-19
1.1.0a,2016-08-19
1.1.0e,2016-08-22
1.1.0f,2016-08-23
1.1.1,2016-08-30
1.1.1a,2016-08-30
1.1.1b,2016-09-13
1.1.2,2016-09-23
1.1.2a,2016-09-27
1.1.2b,2016-09-28
1.1.2c,2016-09-29
1.1.2d,2016-10-03
1.1.2e,2016-10-06
1.2.0b,2016-10-19
1.2.0,2016-10-24
1.2.1,2016-10-25
1.2.1a,2016-10-26
1.2.1b,2016-10-27
1.2.1c,2016-11-07
1.2.1d,2016-11-14
1.2.1e,2016-11-17
1.2.2,2016-11-25
1.2.2a,2016-11-25
1.2.2b,2016-11-28
1.3.0,2016-12-06
1.3.1,2016-12-08
1.3.1a,2016-12-09
1.3.1b,2016-12-12
1.3.1c,2016-12-15
1.3.1d,2016-12-20
1.3.1e,2017-01-12
1.3.1f,2017-01-24
1.3.1g,2017-01-30
1.4.0,2017-02-03
1.4.0a,2017-02-14
1.4.1,2017-02-16
1.4.1a,2017-02-22
1.4.1b,2017-02-28
1.4.2,2017-03-08
1.4.2a,2017-03-14
1.4.2b,2017-03-15
1.4.2c,2017-03-21
1.4.2d,2017-03-24
1.4.2e,2017-03-28
1.4.2f,2017-04-12
1.4.2g,2017-04-13
1.5.0,2017-04-27
1.5.1,2017-05-11
1.5.1a,2017-05-15
1.5.1b,2017-05-18
1.5.1c,2017-05-31
1.5.2,2017-06-08
1.5.2a,2017-06-09
1.5.2b,2017-06-13
1.5.2c,2017-06-20
1.5.3,2017-07-04
1.5.3a,2017-07-13
1.5.3b,2017-07-24
1.6.0,2017-07-27
1.6.0a,2017-07-31
1.6.0b,2017-08-01
1.6.1,2017-08-03
1.6.1b,2017-08-09
1.6.2,2017-08-10
1.6.2a,2017-08-11
1.6.2b,2017-08-15
1.6.2c,2017-08-17
1.6.2d,2017-08-22
1.6.3,2017-09-06
1.7.0,2017-09-14
1.7.1,2017-09-21
1.7.2,2017-09-28
1.7.2a,2017-10-06
1.7.3,2017-10-16
1.8.0,2017-10-26
1.8.0a,2017-10-27
1.8.0b,2017-11-02
1.8.1,2017-11-09
1.8.1a,2017-11-14
1.8.1b,2017-11-17
1.8.2,2017-11-20
1.8.2a,2017-11-22
1.8.2b,2017-11-27
1.8.2c,2017-11-30
1.8.2d,2017-12-05
1.8.3,2017-12-14
1.8.3a,2017-12-21
1.8.3b,2018-01-15
1.9.0,2018-01-23
1.9.1,2018-02-01
1.9.2,2018-02-15
1.9.2b,2018-02-19
1.9.3,2018-02-27
1.9.3a,2018-03-06
1.9.3b,2018-03-12
1.9.4,2018-04-10
1.9.4b,2018-04-12
1.9.4c,2018-04-25
2.0.0,2018-06-12
2.0.1,2018-06-19
2.0.1a,2018-06-26
2.0.1b,2018-07-04
2.1.0,2018-07-24
2.1.1,2018-08-07
2.1.2,2018-08-20
2.2.0,2018-09-18
2.2.1,2018-09-27
2.2.2,2018-10-04
2.3.0,2018-10-16
2.3.1,2018-10-19
2.3.2,2018-10-26
2.3.3,2018-11-06
2.4.0,2018-12-18
2.5.0,2019-01-22
2.5.1,2019-01-29
2.5.3,2019-01-31
2.5.4,2019-02-07
2.6.0,2019-03-19
2.6.1,2019-03-20
2.6.2,2019-03-22
2.6.3,2019-04-02
2.6.4,2019-04-10
