Level,Source,Version,Corpus
Cemetery Hill,Book,Final,"Some obstructions can be smashed down with clubs and certain other weapons, try experimenting."
Cemetery Hill,Book,Final,"The club is a crude, but effective weapon. Bash with it! Burn with it! But beware, one bash too many and it will break."
Cemetery Hill,Book,Early,"The club is your basic lump-of-wood weapon. Eventually, it will fall apart with use, if it doesn't catch fire and burn up first"
Cemetery Hill,Book,Early,"The club is your basic lump-of-wood weapon, it will eventually fall apart during use and it's flammable - so don't get too attached to it."
Cemetery Hill,Book,Final,Of great archaeological Interest. Destroy the boulder and plunder the valuable treasures within.
Cemetery Hill,Book,Final,"A GUIDE TO COVENS - for Witches and Witchcraft enthusiasts

A Witches Coven would reach the height of its power only when all of their Sacred Flames were alight.
Witches have been known to offer help to the questing adventurer, yet they are a reclusive people and have to be summoned by the aid of mystic Charms or Talismans.
Let it be known that help from a Witch is rarely given freely, and the Witch will more often than not make a request of the adventurer before any such help is given.
If seeking to summon a Witch, remember that they are quite territorial. Any signs of previous Witch activity in an area is good indication that a Witch can be called upon."
Cemetery Hill,Book,Final,The adventurer would be wise to be thorough in the exploration of an area. Hidden locations reap great rewards.
Cemetery Hill,Zarok,Final,"So, even from the shackles of death my old enemy pursues me! You're too late, Fortesque – already my army has risen from the grave! You will never leave this necropolis… Ha, ha, ha!"
Cemetery Hill,Gargoyle,Final,Cough! Splutter! Aaah – fresh air! We hates these dark old caves and their filthy stench of old witches. A coven of the warty old hags lived here once – unholy fires burning all night while they brewed up unspeakable muck in their cauldrons. They moved on years back but the smell still makes our eyes sting.
Cemetery Hill,Stone Statues,Final,We have failed the Master! We give our lives!
Dan's Crypt,Book,Early,You must be out of shape after 500 years lying on your back. Use the crypt to get the grips with your new lease of life.
Dan's Crypt,Book,Final,You must be out of shape after 100 years lying on your back. Use the crypt to get the grips with your new lease of life.
Dan's Crypt,Book,Final,"During your travels through the world of Gallowmere you will collect many items. To look at your inventory, press the SELECT button on the Controller."
Dan's Crypt,Book,Final,"To do a power attack, press and hold the Square button button on the Controller for a second or two and then release it."
Dan's Crypt,Book,Final,"Feel free to have a paddle in the shallow water, but don't be tempted to go for a swim, buoyancy can be a problem for those of a dead disposition."
Dan's Crypt,Book,Final,"Any Treasure that you find will go into your coin score, displayed in the top right of your display. Coins are used to buy items from the greedy Merchant gargoyles."
Dan's Crypt,Book,Final,When you're ready to leave this crypt you'll find an exit at the end of the hall. To unlock the gates you must find a Rune Stone and place it in the ornate hand set next to the doorway.
Dan's Crypt,Book,Final,Track down Zarok by retracing his diabolical odyssey through Gallowmere. You can spot the exits from an area by looking out for his stinking trail of magic slime.
Dan's Crypt,Book,Unused,To read a book stand in front of it and press X button. To scroll through any text press DOWN and press X button to exit the text.
Dan's Crypt,Book,Unused,"You can knock down certain weak sections of wall using a shoulder barge: double press forward to break into a run and then press the button Square button. There is a weak wall nearby, can you find it?"
Dan's Crypt,Gargoyle,Final,It has risen again - Sir Daniel Fortesque. See? The hero of Gallowmere who fell at the first charge! The fog of war and the shrouds of time conspired to turn the arrow fodder into the savior of the day. But we know better…
Dan's Crypt,Sir Daniel Fortesque,Final,(mumble) I'll show you!
Dan's Crypt,Gargoyle,Final,"Let it alone! Fate has given it a second chance, and a chance to forget the ignoble truth, a chance to defeat Zarok and live up to the legend. We hopes it does well."
Hall of Heroes,Book,Final,To pay homage to the Heroes; stand in front of their designated statues and await spiritual guidance.
Hall of Heroes,Book,Final,"Only when you are truly worthy as a hero will you be able to ascend to the higher level of this Hall.
When you have paid homage to all of the Heroes in the lower Hall the ghostly stairs will then become solid."
Hall of Heroes,Bloodmonath Skull Cleaver,Final,Eh Mr.. Fortisskay - I wanna talk with you...
Hall of Heroes,Bloodmonath Skull Cleaver,Final,"If this Zorak so bad, why you get to go back? Why you of all people, Fortisskay?"
Hall of Heroes,Bloodmonath Skull Cleaver,Final,"It should be I, Bloodmonath Skull Cleaver - when I lived, always I had a pile of slain strewn around me. You, you spend most of your time organising the changing of the guard and playing croquet with the king."
Hall of Heroes,Bloodmonath Skull Cleaver,Final,"Still, I lend you my axe - you swing her, you throw her, she thirsts for slaughter as much as I."
Hall of Heroes,Bloodmonath Skull Cleaver,Final,Drink deep of demon blood my proud beauty...
Hall of Heroes,Bloodmonath Skull Cleaver,Final,"Ten thousand curses, Fortisskay, I bet money you be back pushing up daisies by now! Hey, I have something here for you. You like it very much. You want?"
Hall of Heroes,Canny Tim,Final,"Captain Fortesque! It's me, Canny Tim. Does the battle go well?"
Hall of Heroes,Canny Tim,Final,"How I wish I could fight at your side again, sir. But hold, you could take my crossbow, it's got rapid fire and you can ricochet the darts off walls to shoot around corners. I used it at the Battle of Gallowmere: after you were slain I shot Zarok's champion Lord Kardok - a clean kill, through the eye at some 1000 yards..."
Hall of Heroes,Canny Tim,Final,"Not that there's anything clever about shooting someone in the eye, sir."
Hall of Heroes,Canny Tim,Final,"Duh! G-goodbye, sir."
Hall of Heroes,Canny Tim,Final,"Hurrah, I knew it would take more than an army of the evil dead to throw your stride, sir. I have something that may help you on your quest, captain, I give it to you freely, though I have no idea what it is."
Hall of Heroes,Dirk Steadfast,Final,"Aalreet Dan man, how ya doing?"
Hall of Heroes,Dirk Steadfast,Final,"Now then, have ya got yourself a magic sword?"
Hall of Heroes,Dirk Steadfast,Final,"What? Daniel, man, y'cannat go into battle against an army of undead without a magic sword... Here take mine, you'll never have to sharpen another blade or my name's not Dirk Steadfast. It's not enough just to have a magic shield, you know, no matter what that soft, thickie Sturnguard says."
Hall of Heroes,Dirk Steadfast,Final,Good lad. Why I'd sooner go into battle holding a tea tray than carry that weedy girl's shield of his!
Hall of Heroes,Dirk Steadfast,Final,"Eh Dan man, how's that sword bearing up? I told you it was magic, reet? I 've got something here I can give you but I've no idea what it is. D'ya fancy your chances, like?"
Hall of Heroes,Imanzi Shongama,Final,"Dan, Dan, Dan. Tell me, what's a warrior queen got to do to meet someone like you?"
Hall of Heroes,Imanzi Shongama,Final,"Don't be shy, baby - I've seen you giving me the eye. You may be weak and feeble like all men, but I like you, Daniel."
Hall of Heroes,Imanzi Shongama,Final,"Oh, I love a man who doesn't talk back! I think if you return I may take you for my husband."
Hall of Heroes,Imanzi Shongama,Final,"Now listen up, sugar: your bow and arrows are fine for itty bitty jobs but if you wanna pack some serious heat you should take this spear."
Hall of Heroes,Imanzi Shongama,Final,Think of me when you throw it.
Hall of Heroes,Imanzi Shongama,Final,Well hello stranger. I've got a little present for you - why don't you shut your eye and hold out your hands?
Hall of Heroes,Megwynne Stormbinder,Final,"Daniel, there you are! I was so worried about you."
Hall of Heroes,Megwynne Stormbinder,Final,"I know you have the heart of a hero, Daniel, now we must show the others. Would you like to take my magic lightning bolts - I don't have many but they're very powerful."
Hall of Heroes,Megwynne Stormbinder,Final,Off you pop then and keep your chin up!
Hall of Heroes,Megwynne Stormbinder,Final,"Oops, sorry Daniel. Now take care, the good people of Gallowmere are depending on you."
Hall of Heroes,Megwynne Stormbinder,Final,"Daniel, thank goodness you're still safe. I have a gift I can give to you but sadly I cannot say how useful you will find it."
Hall of Heroes,Karl Sturnguard,Final,"Ah Herr Fortesque - you are back on the battlefield, yah? Zis is good. People say to me 'Sturnguard what do think of this sword or that axe' but I say to them 'NEIN! Modern warfare is a question of science, the science of shields.'"
Hall of Heroes,Karl Sturnguard,Final,"I think maybe you should take my shield - yah? It is magic, Herr Fortesque. Some say it is better to have a magic sword than a magic shield but I say to you that this is rubbish!"
Hall of Heroes,Karl Sturnguard,Final,So long as you use it properly this shield will make you invincible!
Hall of Heroes,Karl Sturnguard,Final,"You are back, Herr Fortesque, I think this is because of my shield, yah? But I have something else I can give to you, something you may find verrrry interesting."
Hall of Heroes,Gargoyles,Final,"Welcome to the Hall of Heroes, where the bravest warriors from history spend eternity, feasting, singing and arm wrestling! If they think you are worthy enough you may be able to persuade them to give you a new weapon."
Hall of Heroes,Gargoyles,Final,Back from the battles so soon? It must think it is a hero by now but only a true hero is worthy of a place in the Hall of Heroes. See the ghostly statue of your fraudster self? When it is has turned solid a true hero you will be.
Hall of Heroes,Gargoyles,Final,It's the Hall of Heroes shopping Mall! Bargain hunters should check out the ground floor. Well to do shoppers should check out the upper floor - that's where it's at!
Hall of Heroes,Gargoyles,Final,Gaining allies in the Hall of the Heroes is the way forward! Hack! Choppety chop! Off with a few Zombies heads and it thinks it can redeem itself in battle! You still have a long way to go to rank as the best!
Hall of Heroes,Gargoyles,Final,Back and forth like a supernatural yo yo! Maybe the Master will make it harder to find those magic egg cups!
Hall of Heroes,Gargoyles,Final,"Wouldn't this make a wonderful tourist attraction! Come see Sturnguard the mighty! Come see the last of the Centaurs! Oh and see that dork over there, that's Daniel Fortesque 'would be hero'! Ha ha ha!"
Hall of Heroes,Gargoyles,Final,"You prove us all wrong! Maybe it is destined to be a Hero, maybe it can defeat Zarok! The people of Gallowmere may never know of your past mistakes and you will indeed be remembered as the peoples hero! Your time in exile is over, welcome to your new home Sir Daniel Fortesque!"
Hall of Heroes,RavenHooves the Archer,Final,"Look at you running around in your bones, Fortesque - you're so nouveau dead."
Hall of Heroes,RavenHooves the Archer,Final,"I Ravenhooves, last prince of the Centaurs, have not galloped the earth in over ten thousand years."
Hall of Heroes,RavenHooves the Archer,Final,"Do yourself a favour, Fortesque, take my longbow - more powerful than a crossbow, the option of flaming arrows, it is truly the weapon of noblemen."
Hall of Heroes,RavenHooves the Archer,Final,"Congratulations. You don't quite have my breeding, Mr. Johnny Come Lately, but there's hope for you yet."
Hall of Heroes,RavenHooves the Archer,Final,"Oh, Daniel - I've got something here I can give you but I've no idea what it is. Do you fancy a little gamble, like?"
Hall of Heroes,Stanyer Iron Hewer,Final,Ahh Fortesque! What's this I hear about that arch cad Zarok still being alive - thought you killed the fella?
Hall of Heroes,Stanyer Iron Hewer,Final,"Never mind, you old war-horse, better show 'im what's what, eh? I expect Johnny Zombie's a bit more of a handful than you remember - how are you doing for weapons?"
Hall of Heroes,Stanyer Iron Hewer,Final,"Here, take my WarHammer, it'll smash anything and it won't fall apart like a club - I only ever get to use it cracking walnuts around this place."
Hall of Heroes,Stanyer Iron Hewer,Final,"Nonsense, Fortesque I won't take no for an answer. Knock a few heads for old Stanyer Iron Hewer, eh?"
Hall of Heroes,Stanyer Iron Hewer,Final,"Bravo Fortesque, some of the other chaps wagered Zarok would be using your rib cage as a toast rack by now. But I knew you'd pull through. Here, I have a little extra something here I can give you. Could help the old quest, do you want it?"
Hall of Heroes,Woden the Mighty,Final,"Fortesque, you jawless arrow magnet - what are you doing back here?"
Hall of Heroes,Woden the Mighty,Final,"What? Call me MISTER Woden the Mighty! How I pity the people of Gallowmere - that their fate should once again be in the hands of a chump like you! Still, I suppose it's not fair to take it out on them - take my sword - and do try not to stab yourself in the foot. You know, I've always had my doubts about you, Fortesque - you're just not carved from hero material."
Hall of Heroes,Woden the Mighty,Final,"By God, Fortesque, you must be the luckiest corpse ever to walk the face of the Earth! I have something here I can lend to you - take it or leave it but remember I'm only doing this for the sake of Gallowmere's doomed population and not for you, you gangly buffoon."
Hall of Heroes,Sir Daniel Fortesque,Final,No. No...
